         image name	     False Detection	      Missed Regions	 Correct Segmentation	   Over Segmentation	  Under segmentation
   1504_blk_102.txt	   0.00	   0.00	  38.71	  61.29	   0.00
   1504_blk_118.txt	   0.00	   0.00	  39.53	  60.47	   0.00
    1504_blk_34.txt	   0.00	   0.00	  80.37	  19.63	   0.00
    1504_blk_46.txt	   0.00	   0.00	  38.75	  61.25	   0.00
   1505_blk_167.txt	   0.00	   0.00	  93.06	   6.94	   0.00
   1506_blk_108.txt	   0.00	   0.00	  96.10	   3.90	   0.00
    1506_blk_11.txt	   0.00	   0.00	  88.24	  11.76	   0.00
    1506_blk_60.txt	   0.78	   0.00	  89.38	  10.62	   0.00
    1506_blk_76.txt	   0.00	   0.00	  82.81	  17.19	   0.00
   1507_blk_116.txt	   0.00	   0.00	  88.30	  11.70	   0.00
    1507_blk_14.txt	   0.00	   0.00	  74.36	  25.64	   0.00
    1507_blk_39.txt	   0.00	   0.00	  90.48	   9.52	   0.00
    1507_blk_64.txt	   0.00	   0.00	  95.83	   4.17	   0.00
    1507_blk_70.txt	   0.00	   0.00	  81.94	  18.06	   0.00
    1507_blk_78.txt	   0.00	   0.00	  82.35	  17.65	   0.00
    1507_blk_84.txt	   0.81	   0.00	  94.59	   5.41	   0.00
   1508_blk_103.txt	   0.68	   0.00	  66.04	  33.96	   0.00
    1508_blk_62.txt	   0.00	   0.00	  80.39	  19.61	   0.00
    1509_blk_51.txt	   0.00	   0.00	  62.83	  37.17	   0.00
   1510_blk_115.txt	   0.00	   0.00	  84.96	   1.50	   6.77
   1510_blk_116.txt	   0.00	   0.00	  90.00	   3.33	   3.33
   1510_blk_118.txt	   3.66	   0.00	  93.06	   6.25	   0.69
   1510_blk_130.txt	   1.89	   0.00	  75.44	   3.51	   8.77
   1510_blk_131.txt	   3.70	   0.00	  73.03	   6.74	   7.87
   1510_blk_139.txt	   0.00	   0.00	  92.86	   1.43	   2.86
    1510_blk_14.txt	   0.00	   0.00	  51.28	  48.72	   0.00
   1510_blk_142.txt	   2.11	   0.00	  95.60	   2.20	   1.10
   1510_blk_143.txt	   6.59	   0.00	  54.31	  10.34	  12.07
   1510_blk_146.txt	   0.76	   0.00	  94.62	   2.31	   0.77
   1510_blk_147.txt	   1.56	   0.00	  76.12	  11.94	   4.48
   1510_blk_150.txt	   0.00	   0.00	  94.59	   5.41	   0.00
   1510_blk_153.txt	  14.46	   0.00	  91.89	   0.00	   4.05
   1510_blk_154.txt	   0.00	   0.00	  78.33	  21.67	   0.00
    1510_blk_16.txt	   8.86	   0.00	  72.00	  28.00	   0.00
   1510_blk_161.txt	   0.00	   0.00	  84.50	   3.88	   3.88
   1510_blk_162.txt	   1.39	   0.00	  91.04	   6.72	   0.75
   1510_blk_170.txt	   0.99	   0.00	  83.00	   6.00	   5.00
    1510_blk_19.txt	   0.00	   0.00	  96.55	   3.45	   0.00
